Mathematics*Unknown*3
CATEGORY -- Mathematics:- What is 40 Plus 80 = *120
CATEGORY -- Mathematics:- What is 111 Minus 86 = *25
CATEGORY -- Mathematics:- What is 19 Plus 93 = *112
CATEGORY -- Mathematics:- What is 100 Plus 34 = *134
CATEGORY -- Mathematics:- What is 12 Multiply By 61 = *732
CATEGORY -- Mathematics:- What is 142 Minus 62 = *80
CATEGORY -- Mathematics:- What is 260 Divide By 10 = *26
CATEGORY -- Mathematics:- What is 15 Multiply By 21 = *315
CATEGORY -- Mathematics:- What is 2 Multiply By 58 = *116
CATEGORY -- Mathematics:- What is 2 Multiply By 83 = *166
CATEGORY -- Mathematics:- What is 161 Minus 21 = *140
CATEGORY -- Mathematics:- What is 12 Multiply By 7 = *84
CATEGORY -- Mathematics:- What is 2 Multiply By 47 = *94
CATEGORY -- Mathematics:- What is 3 Multiply By 5 = *15
CATEGORY -- Mathematics:- What is 20 Plus 19 = *39
CATEGORY -- Mathematics:- What is 196 Divide By 2 = *98
CATEGORY -- Mathematics:- What is 195 Minus 11 = *184
CATEGORY -- Mathematics:- What is 72 Divide By 2 = *36
CATEGORY -- Mathematics:- What is 78 Plus 81 = *159
CATEGORY -- Mathematics:- What is 195 Minus 89 = *106
CATEGORY -- Mathematics:- What is 150 Minus 12 = *138
CATEGORY -- Mathematics:- What is 170 Minus 98 = *72
CATEGORY -- Mathematics:- What is 21 Plus 25 = *46
CATEGORY -- Mathematics:- What is 192 Divide By 6 = *32
CATEGORY -- Mathematics:- What is 63 Plus 92 = *155
CATEGORY -- Mathematics:- What is 4 Multiply By 91 = *364
CATEGORY -- Mathematics:- What is 192 Minus 82 = *110
CATEGORY -- Mathematics:- What is 88 Plus 96 = *184
CATEGORY -- Mathematics:- What is 9 Divide By 9 = *1
CATEGORY -- Mathematics:- What is 174 Divide By 2 = *87
CATEGORY -- Mathematics:- What is 126 Minus 54 = *72
CATEGORY -- Mathematics:- What is 1 Multiply By 75 = *75
